Door;UPC;Model Code;Color Name Description;Color Code;Size;Category;Lens Color;Model Name Description;Suggested Retail Price;Wholesale Price;Lens Base;Lens Material;Photochromic;Polarized;Standard;Temple Length ;Bridge Size;Lens Witdth;Lens Height;Folding;Crystals;Rx-Service;Rx-Able;Flex;Geofit;Front Colour Family ;Shape;Type;Temple Material ;Front Material ;Best Seller;Range;Gender;Collection;Limited Edition;New;Advertising;Theme;Items;Brand Name;Brand Code;
0021002876;8053672412338;0AX1016;MATTE GUNMETAL;6074;53;Eyewear;DEMO LENS;;130.00;44.33;Base 4;;N;N;N;140;17;53.0;33.4;N;N;N;N;Y;;GUNMETAL;Oval;Full Rim;;Metal;N;21-35;Woman;Optical;N;Y;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
0021002876;8053672424249;0AX3018F;BROWN/BLUE TRANS;8144;55;Eyewear;;;120.00;40.32;Base 4;;N;N;N;145;18;55.0;39.4;N;N;N;N;Y;;;Rectangle;Full Rim;;Plastic;N;;Man;Optical;N;Y;N;;ZPFN;Exchange Armani;AX;
0021002876;8053672429633;0AX4043S;ICED MINT MILKY;816011;55;Eyewear;GREY GRADIENT;;85.00;42.20;Base 6 Decentered;PLAST;N;N;Y;140;18;55.0;44.8;N;N;N;Y;N;;GREEN;Square;Full Rim;;Plastic;N;;Woman;Sun;N;Y;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
0021002876;8053672429640;0AX4043S;POWDER BLU MILKY;81618F;55;Eyewear;BLUE GRADIENT;;85.00;42.20;Base 6 Decentered;PLAST;N;N;Y;140;18;55.0;44.8;N;N;N;Y;N;;LIGHT BLUE;Square;Full Rim;;Plastic;N;;Woman;Sun;N;Y;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
0021002876;8053672463477;0AX3028;TORTOISE;8037;53;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;16;53.0;36.7;N;N;N;N;Y;;;Cat Eye;Full Rim;;Plastic;N;21-35;Woman;Optical;N;Y;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
0021002876;8053672463354;0AX3025;DARK BLUE;8177;53;Eyewear;DEMO LENS;;110.00;38.30;Base 4;;N;N;N;140;18;53.1;40.3;N;N;N;N;Y;;BLUE;Square;Full Rim;;Plastic;N;;Man;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672571967;0AX3035;MATTE BLACK;8078;54;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;17;54.0;39.0;N;N;N;N;Y;;BLACK;Square;Full Rim;;Plastic;N;;Man;Optical;N;N;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672571905;0AX3033;BLUE NAVY;8197;54;Eyewear;DEMO LENS;;130.00;44.33;Base 4;;N;N;N;140;16;54.0;39.3;N;N;N;N;Y;;BLUE;Cat Eye;Full Rim;;Plastic;N;21-35;Woman;Optical;N;N;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672572155;0AX3035F;MATTE MOUNTAIN;8194;54;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;17;54.0;39.0;N;N;N;N;Y;;BROWN;Square;Full Rim;;Plastic;N;;Man;Optical;N;Y;N;URBAN ATTITUDE;ZPFN;Exchange Armani;AX;
0021002876;8053672571943;0AX3034;MATTE DARK GREEN;8196;54;Eyewear;DEMO LENS;;120.00;40.32;Base 4;;N;N;N;140;18;54.0;40.5;N;N;N;N;Y;;GREEN;Square;Full Rim;;Plastic;N;21-35;Man;Optical;N;N;N;FOREVER YOUNG;ZPFN;Exchange Armani;AX;
